id_aluno,curso_id,prova_1,prova_2,trabalho,projeto,horas_estudo,periodo_letivo,metas_alcancadas,comportamento_frequencia
1001,3,8.2,5.2,6.1,6.2,13,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1002,3,5.7,6.7,7,6.9,21,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1003,2,5.4,8.3,9.3,6.4,29,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1004,4,7.3,6.5,5.6,8.3,8,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1005,5,8.3,5.1,9.5,6.6,27,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1006,1,6.5,9.8,7.5,8.8,27,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1007,4,9.9,7.9,7.1,5.6,13,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1008,3,8.1,9.2,6.5,8.9,2,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1009,4,6.9,4.2,9.6,7.9,23,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1010,5,6.4,NA,7.6,9.2,24,SEM_2025-2,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1011,1,6.1,7,9,7.2,26,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1012,1,8.4,4.4,9.3,8.1,9,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1013,5,6.6,NA,9.6,7.8,3,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1014,5,4.4,5.4,6.5,9.9,30,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1015,3,6.4,6.2,6.7,8.8,21,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1016,1,8.4,5.3,8,7.7,16,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1017,4,5.1,4.6,7.2,NA,3,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1018,2,5.1,5.4,9.7,9.5,13,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1019,2,7.2,5.8,7,6,27,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1020,5,7.2,7.8,7.4,8.3,19,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
